#cs_bulk_[1/sigma^3],excess_chemical_potential_[kbT],bjerrum_length,error_excess_chemical_potential_[kbT],excess_pressure_[kT/sigma^3],std_error_excess_pressure_[kT/sigma^3]
2.695417789759999814e-09,-4.351021137877512848e-05,2.000000000000000000e+00,6.921676554563794465e-07,-3.851827594318893624e-14,2.108526448153898900e-16
8.523659461370000089e-09,-7.427122674414749989e-05,2.000000000000000000e+00,4.493516326433293331e-06,-1.807616112580177201e-13,1.146671935590645798e-15
2.695417789760000145e-08,-1.035372639496550149e-04,2.000000000000000000e+00,5.063677845596300503e-06,-8.171432597348823871e-13,1.654129333888704547e-14
2.695417789759999999e-06,-3.031940271292494007e-02,2.000000000000000000e+00,1.413240857466053363e-04,-2.636400004572970776e-08,2.636031040805764856e-11
8.523659461370000539e-06,-4.127796588505479314e-02,2.000000000000000000e+00,2.449703657160429604e-04,-1.124972002996681094e-07,1.474783738054616950e-10
2.695417789760000507e-05,-7.615421877488305624e-02,2.000000000000000000e+00,5.713996171758657476e-04,-6.566989095396179666e-07,1.170514215713901519e-09
8.523659461370000200e-05,-1.252709992055541510e-01,2.000000000000000000e+00,6.564159273489764005e-04,-3.386738439846527169e-06,4.837470792608095765e-09
2.695417699999999995e-04,-2.072884574302087946e-01,2.000000000000000000e+00,1.106112782639213227e-03,-1.745661018404891484e-05,2.851032310417292497e-08
2.695417789760000101e-04,-2.085397242843187171e-01,2.000000000000000000e+00,1.076965644017058039e-03,-1.742957410003485755e-05,2.847577671665599596e-08
5.390835499999999591e-04,-2.784248888038032832e-01,2.000000000000000000e+00,1.375397742180195981e-03,-4.550204871694554966e-05,7.791469246477961844e-08
8.523659461370000200e-04,-3.365753246398797693e-01,2.000000000000000000e+00,1.590969027075880404e-03,-8.447465025296207596e-05,1.468765130415688624e-07
1.347708889999999892e-03,-4.011228563537788672e-01,2.000000000000000000e+00,1.854691962095065616e-03,-1.536430422354193373e-04,2.881141243655981952e-07
2.695417779999999784e-03,-5.081652726283076849e-01,2.000000000000000000e+00,2.422843717875428852e-03,-3.619845221956632117e-04,8.019199244451515603e-07
5.390835570000000396e-03,-6.204356667380437340e-01,2.000000000000000000e+00,3.754857762950025105e-03,-7.862234220488582750e-04,2.633689671874538852e-06
8.523659461370000634e-03,-6.738392222804889808e-01,2.000000000000000000e+00,4.207216501142822286e-03,-1.200338737953249085e-03,5.077061434219377856e-06
9.973045822100000748e-03,-6.883749507113008370e-01,2.000000000000000000e+00,4.142739213683488755e-03,-1.347949799578286589e-03,5.757014473469371011e-06
1.185983827489999962e-02,-6.998672021084888506e-01,2.000000000000000000e+00,5.425017468960176108e-03,-1.512824374308426555e-03,9.371259478143074167e-06
1.374663072780000009e-02,-7.198982053501644662e-01,2.000000000000000000e+00,4.554926564004751696e-03,-1.616960989778337601e-03,8.968066952719475849e-06
1.563342318060000069e-02,-7.154785956112332812e-01,2.000000000000000000e+00,6.054499564496755408e-03,-1.671669149869207732e-03,1.263119223688707693e-05
1.752021563340000129e-02,-7.097015018783637830e-01,2.000000000000000000e+00,5.148834780668647484e-03,-1.629480842783949173e-03,1.342254352194756690e-05
1.940700808629999830e-02,-7.298771071109483310e-01,2.000000000000000000e+00,6.608397430862909816e-03,-1.580985612615371221e-03,1.759721758743890897e-05
2.129380053909999890e-02,-7.084622937719967650e-01,2.000000000000000000e+00,7.753353976806658283e-03,-1.389621207906211950e-03,2.121427526850919976e-05
2.318059299189999950e-02,-7.002012770913444983e-01,2.000000000000000000e+00,6.554812199665331282e-03,-1.209649228197008956e-03,2.227643781670899859e-05
2.506738544470000010e-02,-6.889219784851126072e-01,2.000000000000000000e+00,6.871396583625398111e-03,-1.003024820532205695e-03,2.468442377998216467e-05
2.695417789760000057e-02,-6.609159955081040927e-01,2.000000000000000000e+00,6.475734836756414509e-03,-6.696675815468191477e-04,2.506221438124657882e-05
