pmb_type,name,particle_id,initial_state,residue_id,molecule_id,assembly_id
particle,acid,0,H3acid,0,0,
particle,acid,1,H3acid,1,1,
particle,acid,2,H3acid,2,2,
particle,acid,3,H3acid,3,3,
particle,acid,4,H3acid,4,4,
particle,Na,5,Na,,,
particle,Na,6,Na,,,
particle,Na,7,Na,,,
particle,Na,8,Na,,,
particle,Na,9,Na,,,
particle,Na,10,Na,,,
particle,Na,11,Na,,,
particle,Na,12,Na,,,
particle,Na,13,Na,,,
particle,Na,14,Na,,,
particle,Na,15,Na,,,
particle,Na,16,Na,,,
particle,Na,17,Na,,,
particle,Na,18,Na,,,
particle,Na,19,Na,,,
particle,Na,20,Na,,,
particle,Na,21,Na,,,
particle,Na,22,Na,,,
particle,Na,23,Na,,,
particle,Na,24,Na,,,
particle,Na,25,Na,,,
particle,Na,26,Na,,,
particle,Na,27,Na,,,
particle,Na,28,Na,,,
particle,Na,29,Na,,,
particle,Na,30,Na,,,
particle,Na,31,Na,,,
particle,Na,32,Na,,,
particle,Na,33,Na,,,
particle,Na,34,Na,,,
particle,Na,35,Na,,,
particle,Na,36,Na,,,
particle,Na,37,Na,,,
particle,Na,38,Na,,,
particle,Na,39,Na,,,
particle,Na,40,Na,,,
particle,Na,41,Na,,,
particle,Na,42,Na,,,
particle,Na,43,Na,,,
particle,Na,44,Na,,,
particle,Na,45,Na,,,
particle,Na,46,Na,,,
particle,Na,47,Na,,,
particle,Na,48,Na,,,
particle,Cl,49,Cl,,,
particle,Cl,50,Cl,,,
particle,Cl,51,Cl,,,
particle,Cl,52,Cl,,,
particle,Cl,53,Cl,,,
particle,Cl,54,Cl,,,
particle,Cl,55,Cl,,,
particle,Cl,56,Cl,,,
particle,Cl,57,Cl,,,
particle,Cl,58,Cl,,,
particle,Cl,59,Cl,,,
particle,Cl,60,Cl,,,
particle,Cl,61,Cl,,,
particle,Cl,62,Cl,,,
particle,Cl,63,Cl,,,
particle,Cl,64,Cl,,,
particle,Cl,65,Cl,,,
particle,Cl,66,Cl,,,
particle,Cl,67,Cl,,,
particle,Cl,68,Cl,,,
particle,Cl,69,Cl,,,
particle,Cl,70,Cl,,,
particle,Cl,71,Cl,,,
particle,Cl,72,Cl,,,
particle,Cl,73,Cl,,,
particle,Cl,74,Cl,,,
particle,Cl,75,Cl,,,
particle,Cl,76,Cl,,,
particle,Cl,77,Cl,,,
particle,Cl,78,Cl,,,
particle,Cl,79,Cl,,,
particle,Cl,80,Cl,,,
particle,Cl,81,Cl,,,
particle,Cl,82,Cl,,,
particle,Cl,83,Cl,,,
particle,Cl,84,Cl,,,
particle,Cl,85,Cl,,,
particle,Cl,86,Cl,,,
particle,Cl,87,Cl,,,
particle,Cl,88,Cl,,,
particle,Cl,89,Cl,,,
particle,Cl,90,Cl,,,
particle,Cl,91,Cl,,,
particle,Cl,92,Cl,,,
