pH,charge,charge_error
2.0,4.769976625292183,0.03589861247790809
2.5,4.403126210922363,0.05183214139258131
3.0,3.767890401369984,0.06473042658758646
3.5,2.910399870001626,0.07297264097441067
4.0,1.9509056136798293,0.076159435380892
4.5,1.01215734803315,0.07623737867900791
5.0,0.1300896238797007,0.07517492641612307
5.5,-0.7458756765540429,0.07613015058623873
6.0,-1.6825464681691473,0.07653887855278552
6.5,-2.684907688653892,0.07382705658513389
7.0,-3.5904288696391298,0.0687849849211043
7.5,-4.312922338470769,0.05559908936108033
8.0,-4.725088436394546,0.0387987480746436
8.5,-4.9062336720791,0.02385030140762049
9.0,-4.967755403057463,0.013989601304319406
9.5,-4.989578880263996,0.008034723183410933
10.0,-4.997462531718353,0.004017910847679971
10.5,-4.998956263046711,0.0025471341039558855
11.0,-4.999727503406207,0.001303259008174
11.5,-4.999813752328096,0.0010779120839355
12.0,-5.0,0.0
